ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0015908,fatty acid transport,6/92,120/18986,0.05,10.31847826,7.145505589,2.57E-05,0.000710461,0.000453937,PTGS2/MIF/PLA2G1B/PTGES/PPARG/SLC2A1,6
BP,GO:0032355,response to estradiol,6/92,120/18986,0.05,10.31847826,7.145505589,2.57E-05,0.000710461,0.000453937,PTGS2/NQO1/CYP1B1/CCNA2/ALDH1A2/IGFBP2,6
BP,GO:0051928,positive regulation of calcium ion transport,6/92,120/18986,0.05,10.31847826,7.145505589,2.57E-05,0.000710461,0.000453937,CXCL12/CALM1/PLA2G1B/SNCA/PDGFRB/MYLK,6
BP,GO:1902749,regulation of cell cycle G2/M phase transition,6/92,120/18986,0.05,10.31847826,7.145505589,2.57E-05,0.000710461,0.000453937,PLK1/CDK1/AURKB/CCNB1/CHEK1/AURKA,6
BP,GO:0050918,positive chemotaxis,5/92,72/18986,0.069444444,14.33121981,7.908273926,2.59E-05,0.000710461,0.000453937,PGF/KDR/CXCL12/MIF/FGF2,5
BP,GO:0050678,regulation of epithelial cell proliferation,10/92,406/18986,0.024630542,5.082994217,5.803048305,2.71E-05,0.000733637,0.000468746,XDH/MMP12/KDR/CXCL12/AR/ALOX5/FGF2/ALDH1A2/STAT1/PPARG,10
BP,GO:0046777,protein autophosphorylation,7/92,180/18986,0.038888889,8.025483092,6.608478607,2.72E-05,0.000733637,0.000468746,KIT/KDR/DAPK1/CALM1/NEK2/PDGFRB/AURKA,7
BP,GO:2000379,positive regulation of reactive oxygen species metabolic process,5/92,74/18986,0.067567568,13.94388954,7.784830971,2.96E-05,0.000786073,0.000502249,XDH/CYP1B1/PRKCE/SNCA/PDGFRB,5
BP,GO:0071248,cellular response to metal ion,7/92,183/18986,0.038251366,7.893917795,6.539060134,3.03E-05,0.000786073,0.000502249,PTGS2/PARP1/NQO1/HSD17B1/SNCA/ALOX5AP/HSP90B1,7
BP,GO:0042886,amide transport,9/92,328/18986,0.027439024,5.662579533,5.943850663,3.03E-05,0.000786073,0.000502249,KCNA5/CFTR/CA2/ALOX5/ABCG2/ABCB1/PRKCE/PRKCB/IL6,9
BP,GO:0030397,membrane disassembly,3/92,13/18986,0.230769231,47.62374582,11.73405431,3.04E-05,0.000786073,0.000502249,PLK1/CDK1/PRKCB,3
BP,GO:0060081,membrane hyperpolarization,3/92,13/18986,0.230769231,47.62374582,11.73405431,3.04E-05,0.000786073,0.000502249,KCNA5/CFTR/PRKCZ,3
BP,GO:1990748,cellular detoxification,6/92,125/18986,0.048,9.90573913,6.970755938,3.24E-05,0.000831447,0.000531239,PTGS2/NQO1/AKR1B10/ABCG2/PTGES/ALOX5AP,6
BP,GO:0042326,negative regulation of phosphorylation,8/92,256/18986,0.03125,6.449048913,6.125041833,3.43E-05,0.000873513,0.000558117,XDH/PLK1/CALM1/PTPN1/PRKCZ/PRKCH/SNCA/IGFBP3,8
BP,GO:0006805,xenobiotic metabolic process,6/92,127/18986,0.047244094,9.749743239,6.9035917,3.55E-05,0.000894921,0.000571795,NQO1/CYP1B1/ALDH2/ABCB1/BCHE/SLC28A3,6
BP,GO:0033044,regulation of chromosome organization,8/92,258/18986,0.031007752,6.399056286,6.092832888,3.63E-05,0.000901666,0.000576105,PLK1/PARP1/FEN1/CDK1/AURKB/NEK2/CCNB1/TOP2A,8
BP,GO:0051924,regulation of calcium ion transport,8/92,258/18986,0.031007752,6.399056286,6.092832888,3.63E-05,0.000901666,0.000576105,PTGS2/CXCL12/CALM1/PLA2G1B/PRKCE/SNCA/PDGFRB/MYLK,8
BP,GO:0051302,regulation of cell division,7/92,190/18986,0.036842105,7.603089245,6.383053849,3.85E-05,0.000943674,0.000602945,PLK1/PGF/CALM1/AURKB/PRKCE/FGF2/AURKA,7
BP,GO:0007100,mitotic centrosome separation,3/92,14/18986,0.214285714,44.22204969,11.28885974,3.86E-05,0.000943674,0.000602945,NEK2/CHEK1/AURKA,3
BP,GO:0048545,response to steroid hormone,9/92,340/18986,0.026470588,5.462723785,5.794071965,4.01E-05,0.000974441,0.000622603,PTGS2/PARP1/MAOB/CYP1B1/AR/BCHE/IL6/TYMS/IGFBP2,9
BP,GO:0018107,peptidyl-threonine phosphorylation,5/92,79/18986,0.063291139,13.06136489,7.496109961,4.07E-05,0.000980249,0.000626314,PLK1/CDK5/CDK1/CALM1/CHEK1,5
BP,GO:0042593,glucose homeostasis,8/92,265/18986,0.030188679,6.23002461,5.982730043,4.39E-05,0.001049174,0.000670352,PIK3R1/PDK4/NOX4/CFTR/ALOX5/PRKCE/IL6/PPARG,8
BP,GO:0033500,carbohydrate homeostasis,8/92,266/18986,0.030075188,6.206603465,5.96732454,4.50E-05,0.001069478,0.000683325,PIK3R1/PDK4/NOX4/CFTR/ALOX5/PRKCE/IL6/PPARG,8
BP,GO:0046427,positive regulation of receptor signaling pathway via JAK-STAT,4/92,41/18986,0.097560976,20.13361612,8.558131175,4.56E-05,0.001074448,0.000686501,KIT/CYP1B1/CALM1/IL6,4
BP,GO:0044070,regulation of monoatomic anion transport,3/92,15/18986,0.2,41.27391304,10.88833826,4.80E-05,0.001108097,0.000708001,CFTR/CA2/ABCB1,3
BP,GO:0061684,chaperone-mediated autophagy,3/92,15/18986,0.2,41.27391304,10.88833826,4.80E-05,0.001108097,0.000708001,EEF1A2/EEF1A1/SNCA,3
BP,GO:0062012,regulation of small molecule metabolic process,9/92,348/18986,0.025862069,5.337143928,5.698113054,4.80E-05,0.001108097,0.000708001,PTGS2/PDK4/PARP1/KIT/PRKCE/SNCA/PPARG/PDK1/IGFBP3,9
BP,GO:0140238,presynaptic endocytosis,5/92,82/18986,0.06097561,12.58351007,7.33512487,4.87E-05,0.001114609,0.000712161,CDK5/CALM1/SNCA/DNM1/MYLK,5
BP,GO:0046683,response to organophosphorus,6/92,135/18986,0.044444444,9.171980676,6.649121631,4.99E-05,0.001135598,0.000725572,PTGS2/CYP1B1/CFTR/TYMS/STAT1/HSP90B1,6
BP,GO:0050708,regulation of protein secretion,8/92,272/18986,0.029411765,6.069693095,5.876517956,5.27E-05,0.001189846,0.000760232,KCNA5/CFTR/ALOX5/PLA2G1B/PRKCE/PRKCB/IL6/PPARG,8
BP,GO:0000302,response to reactive oxygen species,7/92,200/18986,0.035,7.222934783,6.173484289,5.33E-05,0.001194552,0.000763239,NQO1/KCNA5/CYP1B1/CDK1/AXL/IL6/STAT1,7
BP,GO:0032496,response to lipopolysaccharide,9/92,354/18986,0.025423729,5.246683861,5.628064732,5.48E-05,0.001220491,0.000779813,PTGS2/NQO1/MMP9/MAOB/MIF/AXL/PRKCE/IL6/SNCA,9
BP,GO:0090068,positive regulation of cell cycle process,8/92,274/18986,0.02919708,6.025388765,5.846851995,5.55E-05,0.001226816,0.000783854,KCNA5/FEN1/CDK1/AURKB/CCNB1/PRKCE/PDGFRB/AURKA,8
BP,GO:0071695,anatomical structure maturation,8/92,276/18986,0.028985507,5.981726528,5.817478534,5.84E-05,0.001276044,0.000815307,NR4A2/KDR/CFTR/AXL/ALDH1A2/TYMS/PPARG/AURKA,8
BP,GO:0042762,regulation of sulfur metabolic process,3/92,16/18986,0.1875,38.69429348,10.52541413,5.89E-05,0.001276044,0.000815307,PDK4/SNCA/PDK1,3
BP,GO:0051299,centrosome separation,3/92,16/18986,0.1875,38.69429348,10.52541413,5.89E-05,0.001276044,0.000815307,NEK2/CHEK1/AURKA,3
BP,GO:0018108,peptidyl-tyrosine phosphorylation,7/92,204/18986,0.034313725,7.08130861,6.093663494,6.04E-05,0.001290541,0.00082457,NOX4/KIT/KDR/PTPN1/PRKCZ/IL6/PDGFRB,7
BP,GO:0031099,regeneration,7/92,204/18986,0.034313725,7.08130861,6.093663494,6.04E-05,0.001290541,0.00082457,CXCL12/CDK1/AXL/IL6/CCNA2/TYMS/AURKA,7
BP,GO:0018212,peptidyl-tyrosine modification,7/92,206/18986,0.033980583,7.012558041,6.054556787,6.42E-05,0.001362327,0.000870436,NOX4/KIT/KDR/PTPN1/PRKCZ/IL6/PDGFRB,7
BP,GO:0051896,regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,8/92,280/18986,0.028571429,5.896273292,5.759588556,6.46E-05,0.001362327,0.000870436,XDH/NOX4/KIT/KDR/AXL/PTPN1/FGF2/PDGFRB,8
BP,GO:0000280,nuclear division,10/92,451/18986,0.022172949,4.575821845,5.362966793,6.56E-05,0.001374799,0.000878405,RAD51/PLK1/CDK1/AURKB/NEK2/CCNB1/TOP2A/PDGFRB/CHEK1/AURKA,10
BP,GO:0140014,mitotic nuclear division,8/92,282/18986,0.028368794,5.854455751,5.731062081,6.79E-05,0.001413284,0.000902995,PLK1/CDK1/AURKB/NEK2/CCNB1/PDGFRB/CHEK1/AURKA,8
BP,GO:0045787,positive regulation of cell cycle,9/92,365/18986,0.024657534,5.088564622,5.503678513,6.93E-05,0.001434391,0.000916481,KCNA5/FEN1/CDK1/AURKB/CCNB1/PRKCE/PDGFRB/CHEK1/AURKA,9
BP,GO:0018210,peptidyl-threonine modification,5/92,89/18986,0.056179775,11.5937958,6.990165014,7.21E-05,0.001479804,0.000945496,PLK1/CDK5/CDK1/CALM1/CHEK1,5
BP,GO:0048469,cell maturation,7/92,210/18986,0.033333333,6.878985507,5.977887774,7.25E-05,0.001479804,0.000945496,NR4A2/KDR/CFTR/AXL/TYMS/PPARG/AURKA,7
BP,GO:0050921,positive regulation of chemotaxis,6/92,145/18986,0.04137931,8.539430285,6.35927806,7.44E-05,0.001508693,0.000963955,PGF/KDR/CXCL12/IL6/FGF2/PDGFRB,6
BP,GO:1901342,regulation of vasculature development,9/92,369/18986,0.024390244,5.03340403,5.459681655,7.54E-05,0.001519913,0.000971123,KDR/CYP1B1/CXCL12/ALOX5/PRKCB/IL6/FGF2/STAT1/PPARG,9
BP,GO:0032309,icosanoid secretion,4/92,47/18986,0.085106383,17.56336725,7.933344201,7.85E-05,0.001564305,0.000999487,PTGS2/MIF/PLA2G1B/PTGES,4
BP,GO:0010639,negative regulation of organelle organization,9/92,371/18986,0.02425876,5.006269776,5.437920876,7.86E-05,0.001564305,0.000999487,PLK1/PIK3R1/PARP1/AURKB/CCNB1/TOP2A/SNCA/PPARG/CHEK1,9
BP,GO:0043270,positive regulation of monoatomic ion transport,7/92,215/18986,0.03255814,6.7190091,5.884825258,8.40E-05,0.001628502,0.001040505,CXCL12/CFTR/CALM1/PLA2G1B/SNCA/PDGFRB/MYLK,7
BP,GO:0042053,regulation of dopamine metabolic process,3/92,18/18986,0.166666667,34.39492754,9.891069339,8.52E-05,0.001628502,0.001040505,NR4A2/MAOB/ALDH2,3
BP,GO:0042069,regulation of catecholamine metabolic process,3/92,18/18986,0.166666667,34.39492754,9.891069339,8.52E-05,0.001628502,0.001040505,NR4A2/MAOB/ALDH2,3
BP,GO:0002237,response to molecule of bacterial origin,9/92,375/18986,0.024,4.952869565,5.394864263,8.53E-05,0.001628502,0.001040505,PTGS2/NQO1/MMP9/MAOB/MIF/AXL/PRKCE/IL6/SNCA,9
BP,GO:0002673,regulation of acute inflammatory response,4/92,48/18986,0.083333333,17.19746377,7.840393115,8.53E-05,0.001628502,0.001040505,PTGS2/PTGES/IL6/ALOX5AP,4
BP,GO:1902175,regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,4/92,48/18986,0.083333333,17.19746377,7.840393115,8.53E-05,0.001628502,0.001040505,PARP1/P4HB/MCL1/FGF2,4
BP,GO:1904894,positive regulation of receptor signaling pathway via STAT,4/92,48/18986,0.083333333,17.19746377,7.840393115,8.53E-05,0.001628502,0.001040505,KIT/CYP1B1/CALM1/IL6,4
BP,GO:0050920,regulation of chemotaxis,7/92,216/18986,0.032407407,6.687902576,5.866568517,8.65E-05,0.001640225,0.001047995,PGF/KDR/CXCL12/MIF/IL6/FGF2/PDGFRB,7
BP,GO:0044772,mitotic cell cycle phase transition,10/92,467/18986,0.021413276,4.419048506,5.220260739,8.76E-05,0.001651661,0.001055301,PLK1/KCNA5/CDK1/CALM1/AURKB/ABCB1/CCNB1/CCNA2/CHEK1/AURKA,10
BP,GO:0014910,regulation of smooth muscle cell migration,5/92,93/18986,0.053763441,11.09513791,6.809896751,8.89E-05,0.00165721,0.001058847,CYP1B1/PTPN1/PDGFRB/PLAU/IGFBP3,5
BP,GO:0033273,response to vitamin,5/92,93/18986,0.053763441,11.09513791,6.809896751,8.89E-05,0.00165721,0.001058847,PTGS2/BCHE/PRKCB/ALDH1A2/TYMS,5
BP,GO:0014074,response to purine-containing compound,6/92,150/18986,0.04,8.254782609,6.224621533,8.97E-05,0.00166221,0.001062042,PTGS2/CYP1B1/CFTR/STAT1/CHEK1/HSP90B1,6
BP,GO:1900182,positive regulation of protein localization to nucleus,5/92,94/18986,0.053191489,10.97710453,6.766541344,9.35E-05,0.001723625,0.001101282,PTGS2/PLK1/PIK3R1/PARP1/CDK1,5
BP,GO:0032465,regulation of cytokinesis,5/92,95/18986,0.052631579,10.86155606,6.723834816,9.84E-05,0.001802119,0.001151434,PLK1/CALM1/AURKB/PRKCE/AURKA,5
BP,GO:0010565,regulation of cellular ketone metabolic process,6/92,153/18986,0.039215686,8.092924126,6.146792254,0.000100047,0.001812143,0.001157839,PTGS2/PDK4/PRKCE/SNCA/PPARG/PDK1,6
BP,GO:2000377,regulation of reactive oxygen species metabolic process,6/92,153/18986,0.039215686,8.092924126,6.146792254,0.000100047,0.001812143,0.001157839,XDH/CYP1B1/ALOX5/PRKCE/SNCA/PDGFRB,6
BP,GO:0032310,prostaglandin secretion,3/92,19/18986,0.157894737,32.58466819,9.611497473,0.000100861,0.001816628,0.001160705,PTGS2/MIF/PTGES,3
BP,GO:1904892,regulation of receptor signaling pathway via STAT,5/92,96/18986,0.052083333,10.74841486,6.681760415,0.00010338,0.001851598,0.001183048,KIT/CYP1B1/CALM1/IL6/PPARG,5
BP,GO:0038084,vascular endothelial growth factor signaling pathway,4/92,51/18986,0.078431373,16.18584825,7.577548906,0.000108389,0.001921458,0.001227684,XDH/PGF/KDR/PDGFRB,4
BP,GO:0072330,monocarboxylic acid biosynthetic process,7/92,224/18986,0.03125,6.449048913,5.724563914,0.000108479,0.001921458,0.001227684,PTGS2/PDK4/ALOX5/MIF/PLA2G1B/PTGES/ALDH1A2,7
BP,GO:0006576,biogenic amine metabolic process,5/92,99/18986,0.050505051,10.42270531,6.559171332,0.000119596,0.002106728,0.001346059,NR4A2/MAOB/MAOA/ALDH2/SNCA,5
BP,GO:0034762,regulation of transmembrane transport,10/92,487/18986,0.020533881,4.237568074,5.050641258,0.000123575,0.002164922,0.001383241,PIK3R1/MMP9/DAPK1/CFTR/CALM1/CA2/PLA2G1B/PRKCE/PRKCB/SNCA,10
BP,GO:0014909,smooth muscle cell migration,5/92,100/18986,0.05,10.31847826,6.51946957,0.000125413,0.002177692,0.001391401,CYP1B1/PTPN1/PDGFRB/PLAU/IGFBP3,5
BP,GO:0051656,establishment of organelle localization,10/92,488/18986,0.020491803,4.228884533,5.042400034,0.000125662,0.002177692,0.001391401,PLK1/KIT/CDK5/CDK1/AURKB/NEK2/CCNB1/PRKCZ/SNCA/DNM1,10
BP,GO:0097696,cell surface receptor signaling pathway via STAT,6/92,160/18986,0.0375,7.738858696,5.973165843,0.000127916,0.002204828,0.001408738,KIT/CYP1B1/CALM1/IL6/STAT1/PPARG,6
BP,GO:2001251,negative regulation of chromosome organization,5/92,101/18986,0.04950495,10.21631511,6.480324689,0.000131444,0.002253526,0.001439854,PLK1/PARP1/AURKB/CCNB1/TOP2A,5
BP,GO:0008608,attachment of spindle microtubules to kinetochore,4/92,54/18986,0.074074074,15.28663446,7.336109818,0.000135656,0.002295424,0.001466624,CDK1/AURKB/NEK2/CCNB1,4
BP,GO:0048146,positive regulation of fibroblast proliferation,4/92,54/18986,0.074074074,15.28663446,7.336109818,0.000135656,0.002295424,0.001466624,MIF/CCNB1/PLA2G1B/CCNA2,4
BP,GO:0000723,telomere maintenance,6/92,162/18986,0.037037037,7.64331723,5.925483599,0.000136915,0.002295424,0.001466624,RAD51/PARP1/FEN1/AURKB/NEK2/APEX1,6
BP,GO:0019370,leukotriene biosynthetic process,3/92,21/18986,0.142857143,29.48136646,9.112369138,0.000137468,0.002295424,0.001466624,ALOX5/PLA2G1B/ALOX5AP,3
BP,GO:1903376,regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway,3/92,21/18986,0.142857143,29.48136646,9.112369138,0.000137468,0.002295424,0.001466624,PARP1/MCL1/FGF2,3
BP,GO:0120254,olefinic compound metabolic process,6/92,163/18986,0.036809816,7.596425714,5.901947146,0.000141599,0.002352151,0.001502868,PTGS2/HSD17B1/CYP1B1/ALOX5/AKR1B10/ALDH1A2,6
BP,GO:0006633,fatty acid biosynthetic process,6/92,165/18986,0.036363636,7.504347826,5.855468394,0.000151347,0.002501131,0.001598057,PTGS2/PDK4/ALOX5/MIF/PLA2G1B/PTGES,6
BP,GO:1902895,positive regulation of miRNA transcription,4/92,56/18986,0.071428571,14.74068323,7.185620772,0.000156389,0.002571195,0.001642823,AR/IL6/FGF2/PPARG,4
BP,GO:0009713,catechol-containing compound biosynthetic process,3/92,22/18986,0.136363636,28.14130435,8.888210695,0.000158615,0.002578173,0.001647281,NR4A2/ALDH2/SNCA,3
BP,GO:0042423,catecholamine biosynthetic process,3/92,22/18986,0.136363636,28.14130435,8.888210695,0.000158615,0.002578173,0.001647281,NR4A2/ALDH2/SNCA,3
BP,GO:0070371,ERK1 and ERK2 cascade,8/92,319/18986,0.02507837,5.175412294,5.248010585,0.000159226,0.002578173,0.001647281,NOX4/KDR/CDK1/MIF/PTPN1/PRKCZ/FGF2/PDGFRB,8
BP,GO:0010959,regulation of metal ion transport,9/92,408/18986,0.022058824,4.552269821,5.061436672,0.000161147,0.002590772,0.001655331,PTGS2/KCNA5/CXCL12/CALM1/PLA2G1B/PRKCE/SNCA/PDGFRB/MYLK,9
BP,GO:1902850,microtubule cytoskeleton organization involved in mitosis,6/92,167/18986,0.035928144,7.414475397,5.80976234,0.00016162,0.002590772,0.001655331,PLK1/CDK1/AURKB/NEK2/CCNB1/AURKA,6
BP,GO:0030595,leukocyte chemotaxis,7/92,240/18986,0.029166667,6.019112319,5.460287221,0.000166229,0.002651389,0.001694061,PGF/KIT/CXCL12/ALOX5/MIF/PLA2G1B/IL6,7
BP,GO:2000107,negative regulation of leukocyte apoptotic process,4/92,57/18986,0.070175439,14.48207475,7.113241964,0.000167572,0.002659581,0.001699296,CXCL12/AURKB/MIF/AXL,4
BP,GO:0033047,regulation of mitotic sister chromatid segregation,4/92,58/18986,0.068965517,14.23238381,7.042664198,0.000179321,0.002816946,0.001799841,PLK1/CDK1/AURKB/CCNB1,4
BP,GO:0097529,myeloid leukocyte migration,7/92,243/18986,0.028806584,5.94480229,5.413395715,0.000179415,0.002816946,0.001799841,PIK3R1/PGF/KIT/CXCL12/MIF/PLA2G1B/IL6,7
BP,GO:0019217,regulation of fatty acid metabolic process,5/92,108/18986,0.046296296,9.554146538,6.220822812,0.000180123,0.002816946,0.001799841,PTGS2/PDK4/SNCA/PPARG/PDK1,5
BP,GO:0036480,neuron intrinsic apoptotic signaling pathway in response to oxidative stress,3/92,23/18986,0.130434783,26.91776938,8.678512143,0.000181769,0.002828886,0.00180747,PARP1/MCL1/FGF2,3
BP,GO:0048144,fibroblast proliferation,5/92,109/18986,0.04587156,9.466493817,6.18568237,0.000188067,0.002912763,0.001861062,CDK1/MIF/CCNB1/PLA2G1B/CCNA2,5
BP,GO:0045839,negative regulation of mitotic nuclear division,4/92,59/18986,0.06779661,13.99115696,6.973811491,0.000191654,0.002954047,0.00188744,PLK1/AURKB/CCNB1/CHEK1,4
BP,GO:0050796,regulation of insulin secretion,6/92,173/18986,0.034682081,7.157325961,5.677059264,0.000195788,0.002985766,0.001907706,KCNA5/CFTR/ALOX5/PRKCE/PRKCB/IL6,6
BP,GO:0055074,calcium ion homeostasis,8/92,329/18986,0.024316109,5.018104929,5.130215115,0.000196499,0.002985766,0.001907706,KDR/CXCL12/CALM1/PRKCE/PRKCB/FGF2/SNCA/HSP90B1,8
BP,GO:0045786,negative regulation of cell cycle,9/92,419/18986,0.021479714,4.432759157,4.958116602,0.000196506,0.002985766,0.001907706,RAD51/PTGS2/PLK1/CDK5/CDK1/AURKB/NEK2/CCNB1/CHEK1,9
BP,GO:1901616,organic hydroxy compound catabolic process,4/92,60/18986,0.066666667,13.75797101,6.906612294,0.000204586,0.003067458,0.001959902,MAOB/MAOA/ALDH2/AKR1B10,4
BP,GO:1903409,reactive oxygen species biosynthetic process,4/92,60/18986,0.066666667,13.75797101,6.906612294,0.000204586,0.003067458,0.001959902,NOX4/MAOB/ALOX5/SNCA,4
BP,GO:0046394,carboxylic acid biosynthetic process,8/92,331/18986,0.024169184,4.987784054,5.107228178,0.000204752,0.003067458,0.001959902,PTGS2/PDK4/ALOX5/MIF/PLA2G1B/PTGES/ALDH1A2/ALOX5AP,8
BP,GO:0036120,cellular response to platelet-derived growth factor stimulus,3/92,24/18986,0.125,25.79619565,8.481757727,0.000207008,0.003086827,0.001972277,PTPN1/CCNA2/PDGFRB,3
BP,GO:0016053,organic acid biosynthetic process,8/92,334/18986,0.023952096,4.942983598,5.073092247,0.000217666,0.003222794,0.002059151,PTGS2/PDK4/ALOX5/MIF/PLA2G1B/PTGES/ALDH1A2/ALOX5AP,8
BP,GO:0042908,xenobiotic transport,4/92,61/18986,0.06557377,13.53243051,6.840999165,0.000218137,0.003222794,0.002059151,ABCG2/ABCB1/SLC28A3/SLC2A1,4
BP,GO:0014812,muscle cell migration,5/92,114/18986,0.043859649,9.05129672,6.016536461,0.000231874,0.003394462,0.002168836,CYP1B1/PTPN1/PDGFRB/PLAU/IGFBP3,5
BP,GO:0033559,unsaturated fatty acid metabolic process,5/92,114/18986,0.043859649,9.05129672,6.016536461,0.000231874,0.003394462,0.002168836,PTGS2/CYP1B1/ALOX5/MIF/PTGES,5
BP,GO:0014059,regulation of dopamine secretion,3/92,25/18986,0.12,24.76434783,8.296645701,0.000234413,0.003412102,0.002180107,CXCL12/PRKCB/SNCA,3
BP,GO:0090257,regulation of muscle system process,7/92,254/18986,0.027559055,5.687350223,5.247947072,0.000235207,0.003412102,0.002180107,PTGS2/PARP1/KIT/CALM1/TNNC1/PDE5A/PPARG,7
BP,GO:0018958,phenol-containing compound metabolic process,5/92,117/18986,0.042735043,8.819212189,5.919959644,0.000261645,0.003745919,0.002393394,NR4A2/MAOB/MAOA/ALDH2/SNCA,5
BP,GO:1903076,regulation of protein localization to plasma membrane,5/92,117/18986,0.042735043,8.819212189,5.919959644,0.000261645,0.003745919,0.002393394,PIK3R1/CDK5/AR/PRKCH/PRKCE,5
BP,GO:0071715,icosanoid transport,4/92,64/18986,0.0625,12.89809783,6.653057274,0.000262664,0.003745919,0.002393394,PTGS2/MIF/PLA2G1B/PTGES,4
BP,GO:0036119,response to platelet-derived growth factor,3/92,26/18986,0.115384615,23.81187291,8.122050954,0.00026406,0.003745919,0.002393394,PTPN1/CCNA2/PDGFRB,3
BP,GO:0050927,positive regulation of positive chemotaxis,3/92,26/18986,0.115384615,23.81187291,8.122050954,0.00026406,0.003745919,0.002393394,PGF/KDR/CXCL12,3
BP,GO:0019216,regulation of lipid metabolic process,8/92,344/18986,0.023255814,4.799292214,4.962184708,0.000265639,0.003751717,0.002397098,PTGS2/PDK4/KIT/EEF1A2/PRKCE/SNCA/PPARG/PDK1,8
BP,GO:0051235,maintenance of location,8/92,345/18986,0.023188406,4.785381222,4.951329478,0.000270879,0.003808935,0.002433657,CDK5/CALM1/PRKCE/IL6/FGF2/SNCA/PPARG/HSP90B1,8
BP,GO:0046883,regulation of hormone secretion,7/92,261/18986,0.026819923,5.534815925,5.147617427,0.000277466,0.003884521,0.002481951,KCNA5/CFTR/ALOX5/PRKCE/PRKCB/IL6/PPARG,7
BP,GO:0022617,extracellular matrix disassembly,4/92,65/18986,0.061538462,12.69966555,6.593186208,0.000278857,0.00388703,0.002483554,MMP9/MMP13/MMP12/IL6,4
BP,GO:0003015,heart process,7/92,262/18986,0.026717557,5.513690674,5.133580559,0.000283972,0.003941185,0.002518155,NOX4/KCNA5/CALM1/PTPN1/TNNC1/PDE5A/THRB,7
BP,GO:0015909,long-chain fatty acid transport,4/92,66/18986,0.060606061,12.50724638,6.534616008,0.000295755,0.004073245,0.002602533,MIF/PLA2G1B/PPARG/SLC2A1,4
BP,GO:0050926,regulation of positive chemotaxis,3/92,27/18986,0.111111111,22.92995169,7.956995321,0.000296028,0.004073245,0.002602533,PGF/KDR/CXCL12,3
BP,GO:0021700,developmental maturation,8/92,350/18986,0.022857143,4.717018634,4.89767168,0.000298363,0.004087824,0.002611848,NR4A2/KDR/CFTR/AXL/ALDH1A2/TYMS/PPARG/AURKA,8
BP,GO:0009308,amine metabolic process,5/92,121/18986,0.041322314,8.527667984,5.79644868,0.000305755,0.004153608,0.00265388,NR4A2/MAOB/MAOA/ALDH2/SNCA,5
BP,GO:0034341,response to type II interferon,5/92,121/18986,0.041322314,8.527667984,5.79644868,0.000305755,0.004153608,0.00265388,DAPK1/CALM1/STAT1/SNCA/PPARG,5
BP,GO:0051784,negative regulation of nuclear division,4/92,67/18986,0.059701493,12.32057106,6.477298428,0.000313375,0.004221346,0.00269716,PLK1/AURKB/CCNB1/CHEK1,4
BP,GO:2000630,positive regulation of miRNA metabolic process,4/92,67/18986,0.059701493,12.32057106,6.477298428,0.000313375,0.004221346,0.00269716,AR/IL6/FGF2/PPARG,4
BP,GO:0007565,female pregnancy,6/92,189/18986,0.031746032,6.551414769,5.352141253,0.000315277,0.004225189,0.002699615,PTGS2/PARP1/MMP9/AR/SLC2A1/IGFBP2,6
BP,GO:0060537,muscle tissue development,9/92,447/18986,0.020134228,4.155091917,4.710422733,0.00031667,0.004225189,0.002699615,NOX4/HSD17B1/CDK5/CDK1/TNNC1/FGF2/ALDH1A2/PDGFRB/MYLK,9
BP,GO:0071887,leukocyte apoptotic process,5/92,122/18986,0.040983607,8.457769066,5.766459039,0.000317614,0.004225189,0.002699615,CXCL12/AURKB/MIF/AXL/IL6,5
BP,GO:0002675,positive regulation of acute inflammatory response,3/92,28/18986,0.107142857,22.11102484,7.800623768,0.000330391,0.004377,0.002796612,PTGS2/IL6/ALOX5AP,3
BP,GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,6/92,192/18986,0.03125,6.449048913,5.295402405,0.000342963,0.004524854,0.002891081,NOX4/KIT/KDR/AXL/FGF2/PDGFRB,6
BP,GO:0032200,telomere organization,6/92,193/18986,0.031088083,6.415634152,5.276757971,0.000352603,0.004632977,0.002960165,RAD51/PARP1/FEN1/AURKB/NEK2/APEX1,6
BP,GO:0001952,regulation of cell-matrix adhesion,5/92,125/18986,0.04,8.254782609,5.678508904,0.000355289,0.004649212,0.002970538,PIK3R1/MMP12/KDR/PRKCZ/PLAU,5
BP,GO:0045765,regulation of angiogenesis,8/92,360/18986,0.022222222,4.585990338,4.793335472,0.000360193,0.004694226,0.002999299,KDR/CYP1B1/ALOX5/PRKCB/IL6/FGF2/STAT1/PPARG,8
BP,GO:1905475,regulation of protein localization to membrane,6/92,194/18986,0.030927835,6.382563873,5.258244958,0.000362455,0.004704575,0.003005911,PIK3R1/CDK5/AR/PRKCZ/PRKCH/PRKCE,6
BP,GO:0090594,inflammatory response to wounding,3/92,29/18986,0.103448276,21.34857571,7.652185144,0.000367224,0.004726534,0.003019941,ALOX5/IL6/PPARG,3
