"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","relation","sample type:ch1","tissue:ch1","group"
"GSM466984","Control 36","GSM466984","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE528","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466984/suppl/GSM466984.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM466985","Tumor 36","GSM466985","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE529","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466985/suppl/GSM466985.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM466986","Control 37","GSM466986","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE530","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466986/suppl/GSM466986.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM466987","Tumor 37","GSM466987","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE531","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466987/suppl/GSM466987.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM466988","Control 38","GSM466988","Public on Oct 01 2010","Nov 02 2009","Oct 01 2010","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE532","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466988/suppl/GSM466988.CEL.gz","54675","","control","lung","Normal"
"GSM466989","Tumor 38","GSM466989","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE533","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466989/suppl/GSM466989.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM466990","Control 40","GSM466990","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE534","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466990/suppl/GSM466990.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM466991","Tumor 40","GSM466991","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE535","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466991/suppl/GSM466991.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM466992","Control 41","GSM466992","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE536","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466992/suppl/GSM466992.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM466993","Tumor 41","GSM466993","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE537","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466993/suppl/GSM466993.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM466994","Tumor 42","GSM466994","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE538","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466994/suppl/GSM466994.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM466995","Control 42","GSM466995","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE539","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466995/suppl/GSM466995.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM466996","Tumor 43","GSM466996","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE540","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466996/suppl/GSM466996.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM466997","Control 43","GSM466997","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE541","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466997/suppl/GSM466997.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM466998","Tumor 44","GSM466998","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE542","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466998/suppl/GSM466998.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM466999","Control 44","GSM466999","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE543","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466999/suppl/GSM466999.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM467000","Control 6","GSM467000","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","08SE350","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM467nnn/GSM467000/suppl/GSM467000.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM467001","Control 16","GSM467001","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","08SE352","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM467nnn/GSM467001/suppl/GSM467001.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM467002","Control 33","GSM467002","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","08SE354","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM467nnn/GSM467002/suppl/GSM467002.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM467003","Control 46","GSM467003","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","08SE355","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM467nnn/GSM467003/suppl/GSM467003.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM467004","Tumor 46","GSM467004","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","08SE356","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM467nnn/GSM467004/suppl/GSM467004.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM467005","Control 47","GSM467005","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","08SE357","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM467nnn/GSM467005/suppl/GSM467005.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM467006","Tumor 47","GSM467006","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","08SE358","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM467nnn/GSM467006/suppl/GSM467006.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM467007","Control 48","GSM467007","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","08SE359","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM467nnn/GSM467007/suppl/GSM467007.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM467008","Tumor 48","GSM467008","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","08SE360","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM467nnn/GSM467008/suppl/GSM467008.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM467009","Control 49","GSM467009","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","08SE361","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM467nnn/GSM467009/suppl/GSM467009.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM467010","Tumor 49","GSM467010","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","08SE362","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM467nnn/GSM467010/suppl/GSM467010.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM467011","Control 50","GSM467011","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","08SE363","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM467nnn/GSM467011/suppl/GSM467011.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM467012","Tumor 50","GSM467012","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","08SE364","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM467nnn/GSM467012/suppl/GSM467012.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM467013","Control 53","GSM467013","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","08SE365","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM467nnn/GSM467013/suppl/GSM467013.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM467014","Tumor 53","GSM467014","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","08SE366","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM467nnn/GSM467014/suppl/GSM467014.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM467015","Control 55","GSM467015","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","08SE367","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM467nnn/GSM467015/suppl/GSM467015.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM467016","Tumor 55","GSM467016","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","08SE368","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM467nnn/GSM467016/suppl/GSM467016.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM467017","Control 57","GSM467017","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","08SE369","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM467nnn/GSM467017/suppl/GSM467017.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM467018","Tumor 57","GSM467018","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","08SE370","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM467nnn/GSM467018/suppl/GSM467018.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM467019","Control NP","GSM467019","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","08SE371","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM467nnn/GSM467019/suppl/GSM467019.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM467020","Control 60","GSM467020","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","08SE375","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM467nnn/GSM467020/suppl/GSM467020.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM467021","Tumor 60","GSM467021","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","08SE376","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM467nnn/GSM467021/suppl/GSM467021.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
